square_contain_id	geometry
357107.0	POINT (3381689.374090418 8361811.789603177)
272319.0	POINT (3375058.9059293 8375088.506933719)
218220.0	POINT (3379612.211914747 8383540.784286487)
202133.0	POINT (3363471.871428153 8386093.336480835)
208624.0	POINT (3375502.483242348 8385033.31520804)
220171.0	POINT (3383643.741372191 8383228.550881591)
208592.0	POINT (3372305.256733155 8385073.725488862)
224075.0	POINT (3391859.748335975 8382695.220807735)
140976.0	POINT (3362960.703669887 8395673.623579308)
214392.0	POINT (3379034.169473324 8384210.213822599)
226621.0	POINT (3391671.312624158 8382281.755969531)
188892.0	POINT (3377028.271408519 8388151.227024385)
221910.0	POINT (3366473.040936966 8382989.822812856)
204164.0	POINT (3375379.506062784 8385749.414442588)
214934.0	POINT (3369537.459185954 8384042.988180573)
186322.0	POINT (3374839.606532437 8388614.343828484)
206124.0	POINT (3380289.658909982 8385419.357428514)
198416.0	POINT (3373882.815509069 8386647.002133176)
133297.0	POINT (3359412.170447362 8396836.868204858)
158930.0	POINT (3374718.640929468 8392874.75072412)
300359.0	POINT (3376177.914185944 8370653.164096401)
108693.0	POINT (3383348.868408674 8400771.007151958)
202275.0	POINT (3377583.928936365 8386054.140895113)
211824.0	POINT (3377023.015892908 8384563.986207236)
233462.0	POINT (3375052.338079343 8381146.301123916)
302239.0	POINT (3373099.175819925 8370411.632065016)
228531.0	POINT (3391543.096125967 8381929.759582811)
260892.0	POINT (3378910.560310747 8376861.665115518)
220082.0	POINT (3374674.853686063 8383263.229584355)
193304.0	POINT (3372334.917989588 8387451.79056167)
336023.0	POINT (3375384.955151858 8365088.148129252)
213110.0	POINT (3378209.247518749 8384329.586858978)
247023.0	POINT (3393389.144344578 8379110.843386713)
207996.0	POINT (3376412.921998605 8385157.107422498)
117416.0	POINT (3363847.920011509 8399410.617787007)
200334.0	POINT (3374606.63952887 8386363.063590839)
351159.0	POINT (3360191.07473895 8362657.310254148)
328181.0	POINT (3355631.01451019 8366256.944154913)
186304.0	POINT (3372980.571036189 8388614.343828484)
342382.0	POINT (3374299.3766615 8364113.879655644)
237290.0	POINT (3375632.201306885 8380613.555486877)
121968.0	POINT (3373158.407607406 8398662.337966371)
178686.0	POINT (3375639.869984154 8389762.999148367)
304173.0	POINT (3375407.645158764 8370044.575536344)
